project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-360-277-bug寻到宝V1.0.0测试_1470654368+205.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13,13,13
performance-360-277-bug寻到宝V1.0.0测试_1470654368+35.csv,0,0,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1875,0.1875,0.125,0.25,0.375,0.25,3,3,2
performance-360-277-bug寻到宝V1.0.0测试_1470654368+42.csv,0,0,0,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.133333333,0.133333333,0.133333333,0.2,0.333333333,0.333333333,3,3,2
performance-360-277-bug寻到宝V1.0.0测试_1470654368+49.csv,0,0,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.142857143,0.142857143,0.285714286,0.214285714,0.357142857,0.428571429,3,3,3
performance-360-277-bug寻到宝V1.0.0测试_1470654368+63.csv,0,0,0,0,0,0.1,0,0,0.1,0,0,0.2,0.2,0.2,0.4,13,13,2
performance-360-277-bug寻到宝V1.0.0测试_1470654368+74.csv,0,0,0,0,0,0.125,0,0,0.125,0,0,0.25,0.125,0.125,0.5,13,13,3
performance-360-277-bug寻到宝V1.0.0测试_1470654368+90.csv,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0.2,13,13,4
performance-360-277-bug寻到宝V1.0.0测试_1470654368+99.csv,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,13,13,28
performance-361-155-bug德成贷V1.0测试_1470654375+119.csv,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,11,12,5
performance-361-155-bug德成贷V1.0测试_1470654375+17.csv,0.071428571,0,0,0.071428571,0.071428571,0,0.071428571,0.142857143,0.071428571,0.214285714,0.214285714,0.285714286,0.357142857,0.357142857,0.357142857,1,3,5
performance-361-155-bug德成贷V1.0测试_1470654375+31.csv,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2,0.1,0.4,0.4,0.3,2,2,4
performance-361-155-bug德成贷V1.0测试_1470654375+40.csv,0,0,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.222222222,0.222222222,0.111111111,0.444444444,0.444444444,0.444444444,3,3,3
performance-361-155-bug德成贷V1.0测试_1470654375+48.csv,0,0,0,0,0,0.125,0,0,0.25,0.125,0.25,0.375,0.375,0.5,0.375,9,6,3
performance-361-155-bug德成贷V1.0测试_1470654375+57.csv,0,0,0.166666667,0,0,0.166666667,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.166666667,6,6,1
performance-361-155-bug德成贷V1.0测试_1470654375+63.csv,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0.2,6,6,17
performance-361-155-bug德成贷V1.0测试_1470654375+94.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,11,11,20
performance-362-172-bug一比分V1.1.0测试_1470654365+113.csv,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.5,3,3,7
performance-362-172-bug一比分V1.1.0测试_1470654365+125.csv,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,21
performance-362-172-bug一比分V1.1.0测试_1470654365+26.csv,0,0,0,0.076923077,0.076923077,0,0.153846154,0.153846154,0,0.153846154,0.153846154,0.230769231,0.230769231,0.230769231,0.461538462,3,3,7
performance-362-172-bug一比分V1.1.0测试_1470654365+50.csv,0,0,0,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0.142857143,0.142857143,0.142857143,3,3,16
performance-362-172-bug一比分V1.1.0测试_1470654365+71.csv,0,0,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,3,3,8
performance-362-172-bug一比分V1.1.0测试_1470654365+84.csv,0,0,0,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.2,3,3,5
performance-362-172-bug一比分V1.1.0测试_1470654365+94.csv,0,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.75,0.75,0.5,3,3,12
performance-363-124-bug环信客服V1.7测试_1470654388+104.csv,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,15,15
performance-363-124-bug环信客服V1.7测试_1470654388+24.csv,0,0,0,0,0,0.125,0.25,0.25,0.125,0.375,0.375,0.125,0.625,0.625,0.25,4,4,2
performance-363-124-bug环信客服V1.7测试_1470654388+31.csv,0,0,0,0,0,0,0.285714286,0.285714286,0,0.428571429,0.428571429,0.142857143,0.714285714,0.571428571,0.285714286,4,4,7
performance-363-124-bug环信客服V1.7测试_1470654388+43.csv,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,4,4,4
