project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-357-134-bug筑医台V1.2测试_1470654365+42.csv,0.125,0.125,0.0,0.125,0.125,0.0,0.25,0.25,0.0,0.375,0.375,0.0,0.75,0.75,0.125,1.0,1.0,13.0,
performance-357-134-bug筑医台V1.2测试_1470654365+60.csv,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.5714285714285714,1.0,1.0,4.0,
performance-357-134-bug筑医台V1.2测试_1470654365+70.csv,0.2,0.2,0.0,0.2,0.2,0.0,0.4,0.2,0.2,0.6,0.6,0.4,0.8,0.8,0.8,1.0,1.0,4.0,
performance-357-134-bug筑医台V1.2测试_1470654365+83.csv,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,4.0,
performance-357-134-bug筑医台V1.2测试_1470654365+9.csv,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.4117647058823529,0.4117647058823529,0.29411764705882354,0.7058823529411765,0.7058823529411765,0.47058823529411764,1.0,1.0,1.0,
performance-358-100-bug加气助手V1.0.1测试_1470654381+10.csv,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.05,0.1,0.3,0.3,0.2,0.45,0.45,0.5,2.0,2.0,2.0,
performance-358-100-bug加气助手V1.0.1测试_1470654381+57.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,28.0,28.0,4.0,
performance-359-200-bug出游宝V0.8.0测试_1470654366+104.csv,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,3.0,7.0,7.0,
performance-359-200-bug出游宝V0.8.0测试_1470654366+117.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,4.0,15.0,16.0,
performance-359-200-bug出游宝V0.8.0测试_1470654366+140.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,51.0,39.0,
performance-359-200-bug出游宝V0.8.0测试_1470654366+49.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.15384615384615385,4.0,6.0,8.0,
performance-359-200-bug出游宝V0.8.0测试_1470654366+63.csv,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.36363636363636365,3.0,3.0,10.0,
performance-359-200-bug出游宝V0.8.0测试_1470654366+7.csv,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.12,0.08,0.32,0.32,0.16,0.52,0.52,0.28,1.0,1.0,1.0,
performance-359-200-bug出游宝V0.8.0测试_1470654366+84.csv,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,3.0,3.0,6.0,
performance-359-200-bug出游宝V0.8.0测试_1470654366+95.csv,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,3.0,5.0,4.0,
performance-360-277-bug寻到宝V1.0.0测试_1470654368+132.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.0,13.0,16.0,
performance-360-277-bug寻到宝V1.0.0测试_1470654368+153.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,13.0,13.0,47.0,
performance-360-277-bug寻到宝V1.0.0测试_1470654368+205.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,13.0,13.0,
performance-360-277-bug寻到宝V1.0.0测试_1470654368+35.csv,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1875,0.1875,0.125,0.25,0.375,0.25,3.0,3.0,2.0,
performance-360-277-bug寻到宝V1.0.0测试_1470654368+42.csv,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.3333333333333333,3.0,3.0,2.0,
performance-360-277-bug寻到宝V1.0.0测试_1470654368+49.csv,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.42857142857142855,3.0,3.0,3.0,
performance-360-277-bug寻到宝V1.0.0测试_1470654368+63.csv,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.2,0.4,13.0,13.0,2.0,
performance-360-277-bug寻到宝V1.0.0测试_1470654368+74.csv,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.25,0.125,0.125,0.5,13.0,13.0,3.0,
performance-360-277-bug寻到宝V1.0.0测试_1470654368+90.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,13.0,13.0,4.0,
