task category,number of reports,number of bugs,number of unique bugs,number of crowdworkers
health,197,153,64,195
health,30,21,4,30
health,29,17,6,29
health,23,18,4,23
health,28,23,3,28
health,45,32,15,45
health,47,45,7,47
health,197,86,32,197
health,115,100,43,115
health,118,78,31,114
health,23,19,8,23
health,68,15,9,68
health,49,25,10,49
health,33,19,10,33
health,28,23,12,28
health,31,24,12,31
health,76,54,14,76
health,58,35,14,58
health,28,24,14,28
health,62,61,15,62
health,62,61,34,62
health,71,66,17,71
health,136,55,17,136
health,157,86,17,157
health,97,80,17,97
health,58,49,19,58
health,95,91,23,95
health,96,51,24,96
health,216,157,25,216
health,212,200,26,212
health,199,159,28,199
health,239,204,29,239
health,135,95,31,135
health,250,230,31,250
health,257,171,32,257
health,275,128,34,275
health,295,261,36,295
health,308,263,38,308
health,382,235,39,382
health,337,276,42,337
health,429,272,48,429
health,162,127,54,162
health,462,359,97,461
health,463,450,95,463
housing,36,21,8,36
housing,34,29,6,34
housing,43,34,13,43
housing,35,30,11,35
housing,50,29,13,50
housing,43,34,13,43
housing,35,19,8,35
housing,116,98,17,116
housing,36,32,12,36
housing,39,14,10,39
housing,69,22,10,69
housing,61,57,16,61
housing,196,108,26,195
housing,271,171,32,271
life,61,46,17,61
life,197,139,24,197
life,30,19,5,30
life,63,48,23,63
life,47,29,21,47
life,36,32,11,36
life,23,18,7,23
life,49,45,23,49
life,116,98,32,116
life,26,14,3,26
life,44,32,11,44
life,195,163,54,195
life,24,18,5,24
life,61,12,7,61
life,30,19,8,30
life,31,19,9,31
life,25,15,11,25
life,47,38,13,47
life,103,99,43,103
life,38,29,6,38
life,43,36,15,43
life,105,89,15,105
life,143,62,17,143
life,124,100,57,124
life,137,73,18,137
life,131,128,76,130
life,137,73,18,137
life,134,93,19,134
life,141,139,86,141
life,85,61,21,85
life,90,81,22,90
life,143,124,24,143
life,184,123,26,184
life,212,200,26,212
life,197,188,28,197
life,140,105,30,140
life,252,227,31,252
life,315,265,36,315
life,326,238,38,326
life,339,260,42,339
life,876,625,98,876
music,56,35,14,56
music,108,85,34,108
music,116,77,53,116
music,48,45,16,48
music,140,89,20,140
music,241,211,30,241
nursery,41,36,8,41
nursery,34,32,7,34
nursery,36,20,6,36
nursery,71,60,32,71
nursery,161,98,46,161
nursery,21,14,6,21
nursery,83,50,20,83
nursery,24,21,5,24
nursery,42,42,14,42
nursery,57,42,15,57
nursery,124,60,17,124
nursery,79,70,19,79
nursery,79,70,19,79
nursery,206,108,24,206
nursery,317,183,37,317
nursery,306,298,38,306
nursery,328,198,39,328
nursery,326,162,45,326
nursery,306,298,87,306
pet,23,15,6,23
pet,37,35,3,37
pet,42,23,4,42
pet,129,29,10,129
pet,119,113,74,119
pet,119,113,75,119
photo,22,13,3,22
photo,20,18,5,20
photo,111,100,45,111
photo,180,76,32,180
photo,124,76,32,124
photo,23,18,6,23
photo,27,15,9,27
photo,129,29,10,129
photo,45,20,10,45
photo,28,25,11,28
photo,40,37,13,40
photo,93,27,15,93
photo,54,52,15,54
photo,40,36,16,40
photo,64,49,16,64
photo,87,60,19,87
photo,149,91,21,149
photo,214,163,25,214
photo,324,236,40,324
reading,27,14,4,27
reading,102,75,34,102
reading,330,274,41,330
security,44,24,11,44
security,25,12,3,25
security,21,21,3,21
security,131,86,23,131
security,34,14,8,34
security,23,23,9,23
security,33,32,13,33
security,180,177,34,180
shopping,25,17,5,25
shopping,30,16,7,30
shopping,53,43,14,53
shopping,33,23,7,33
shopping,43,32,14,43
shopping,23,18,15,23
shopping,36,23,8,36
shopping,36,23,6,36
shopping,121,67,32,121
shopping,26,23,4,26
shopping,35,20,8,35
shopping,155,132,46,154
shopping,165,68,32,165
shopping,21,18,9,21
shopping,24,12,3,24
shopping,29,15,5,29
shopping,36,30,4,36
shopping,33,21,5,33
shopping,31,12,6,31
shopping,28,14,5,28
shopping,31,15,6,31
shopping,33,21,5,33
